model_id,model,lane,case_id,case_title,module,status,task_framing,evidence_boundary,source_traceability,claim_calibration,no_invention,negative_space,artifact_quality,handoff_correctness,research_usefulness,output_consistency,total_score,max_score,maturity,flags,output_path
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,0,2,2,0,2,1,2,2,2,2,15,20,needs_review,critical_active_module_not_framed|no_clear_unsupported_claim_downgrade|partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/kimi-moonshot-stable-fallback/IDEA-M3R1-COMPASS-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,0,2,1,0,2,1,2,2,2,2,14,20,needs_review,critical_active_module_not_framed|weak_source_traceability|no_clear_unsupported_claim_downgrade|partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/kimi-moonshot-stable-fallback/IDEA-M3R1-COMPASS-02/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,2,2,2,1,2,2,1,2,2,2,18,20,strong,partial_module_artifact,outputs/idea-scout-m3-r1-full/20260702-220808/gemini-frontier/IDEA-M3R1-CURRENT-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,2,2,2,0,1,2,2,2,2,2,17,20,strong,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:样本量,outputs/idea-scout-m3-r1-full/20260702-220808/gemini-frontier/IDEA-M3R1-CURRENT-02/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,2,2,2,2,1,1,2,2,2,2,18,20,strong,detail_risk_requires_manual_review:样本量|partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/gemini-frontier/IDEA-M3R1-COMPASS-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/gemini-frontier/IDEA-M3R1-COMPASS-02/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/idea-scout-m3-r1-full/20260702-220808/claude-frontier/IDEA-M3R1-CURRENT-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/idea-scout-m3-r1-full/20260702-220808/claude-frontier/IDEA-M3R1-CURRENT-02/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/claude-frontier/IDEA-M3R1-COMPASS-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/claude-frontier/IDEA-M3R1-COMPASS-02/output.clean.md
minimax-m3-clean,MiniMax MiniMax-M3,open-weight clean-output,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,detail_risk_requires_manual_review:样本量,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-m3-clean/IDEA-M3R1-CURRENT-01/output.clean.md
minimax-m3-clean,MiniMax MiniMax-M3,open-weight clean-output,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,2,2,2,1,1,2,2,2,2,2,18,20,strong,detail_risk_requires_manual_review:样本量,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-m3-clean/IDEA-M3R1-CURRENT-02/output.clean.md
minimax-m3-clean,MiniMax MiniMax-M3,open-weight clean-output,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-m3-clean/IDEA-M3R1-COMPASS-01/output.clean.md
minimax-m3-clean,MiniMax MiniMax-M3,open-weight clean-output,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,2,2,2,1,1,1,2,2,2,2,17,20,strong,detail_risk_requires_manual_review:样本量|partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-m3-clean/IDEA-M3R1-COMPASS-02/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,2,2,2,1,2,2,2,2,1,2,18,20,strong,limited_research_usefulness,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-reasoning-control/IDEA-M3R1-CURRENT-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-reasoning-control/IDEA-M3R1-CURRENT-02/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-reasoning-control/IDEA-M3R1-COMPASS-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/minimax-reasoning-control/IDEA-M3R1-COMPASS-02/output.clean.md
