model_id,model,lane,case_id,case_title,module,status,task_framing,evidence_boundary,source_traceability,claim_calibration,no_invention,negative_space,artifact_quality,handoff_correctness,research_usefulness,output_consistency,total_score,max_score,maturity,flags,output_path
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,2,2,2,1,1,1,1,2,2,2,16,20,developing,detail_risk_requires_manual_review:样本量|partial_negative_space|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-ICEBERG-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,2,2,2,0,1,1,2,2,2,2,16,20,developing,"no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:准确率,灵敏度|partial_negative_space",outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-ANCHOR-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,2,1,1,2,2,2,2,2,18,20,strong,detail_risk_requires_manual_review:外部验证结果,outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-COMPASS-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,1,1,1,2,2,2,2,17,20,strong,detail_risk_requires_manual_review:样本量|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-HARBOR-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,0,1,1,1,2,2,2,15,20,developing,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:外部验证结果|partial_negative_space|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-SOUNDING-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,0,2,1,1,2,2,1,2,2,2,15,20,needs_review,critical_active_module_not_framed|weak_source_traceability|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-CURRENT-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,2,0,2,1,1,2,2,2,16,20,developing,no_clear_unsupported_claim_downgrade|partial_negative_space|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-REEF-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,0,2,1,1,2,1,1,2,2,2,14,20,needs_review,critical_active_module_not_framed|weak_source_traceability|partial_negative_space|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-ICEBERG-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,0,2,2,0,2,2,1,2,2,2,15,20,needs_review,critical_active_module_not_framed|no_clear_unsupported_claim_downgrade|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-ANCHOR-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,1,2,2,1,2,2,2,2,18,20,strong,weak_source_traceability|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-COMPASS-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,0,2,1,2,2,2,2,17,20,strong,no_clear_unsupported_claim_downgrade|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/kimi-moonshot-stable-fallback/DRM-R1-HARBOR-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,0,1,1,2,2,2,2,16,20,developing,"no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:样本量,外部验证结果|partial_negative_space",outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-SOUNDING-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-CURRENT-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-REEF-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,2,2,1,2,1,1,2,2,2,2,17,20,strong,weak_source_traceability|detail_risk_requires_manual_review:特异性|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-ICEBERG-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-ANCHOR-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-COMPASS-01/output.clean.md
minimax-reasoning-control,MiniMax MiniMax-M1,reasoning control,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/domain-router-model-r1/20260703-013224/minimax-reasoning-control/DRM-R1-HARBOR-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,detail_risk_requires_manual_review:外部验证结果,outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-SOUNDING-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-CURRENT-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-REEF-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,2,2,2,2,1,1,2,2,2,2,18,20,strong,detail_risk_requires_manual_review:特异性|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-ICEBERG-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,2,2,2,0,1,1,2,2,2,2,16,20,developing,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:特异性|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-ANCHOR-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,"detail_risk_requires_manual_review:准确率,外部验证结果",outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-COMPASS-01/output.clean.md
gemini-frontier,Google Gemini gemini-2.5-flash,frontier ceiling,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/domain-router-model-r1/20260703-013224/gemini-frontier/DRM-R1-HARBOR-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,0,1,2,2,2,2,2,17,20,strong,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:样本量,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-SOUNDING-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-CURRENT-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-REEF-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-ICEBERG-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,2,2,2,1,1,1,1,2,2,2,16,20,developing,detail_risk_requires_manual_review:AUROC|partial_negative_space|partial_module_artifact,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-ANCHOR-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-COMPASS-01/output.clean.md
claude-frontier,Anthropic Claude claude-opus-4-8,frontier ceiling,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/domain-router-model-r1/20260703-013224/claude-frontier/DRM-R1-HARBOR-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,detail_risk_requires_manual_review:样本量,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-SOUNDING-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-CURRENT-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,2,2,1,1,2,2,2,2,18,20,strong,detail_risk_requires_manual_review:特异性|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-REEF-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,2,2,2,2,1,1,2,2,2,2,18,20,strong,detail_risk_requires_manual_review:样本量|partial_negative_space,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-ICEBERG-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,detail_risk_requires_manual_review:灵敏度,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-ANCHOR-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,detail_risk_requires_manual_review:样本量,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-COMPASS-01/output.clean.md
perplexity-retrieval-control,Perplexity Retrieval API sonar-pro,retrieval control,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/domain-router-model-r1/20260703-013224/perplexity-retrieval-control/DRM-R1-HARBOR-01/output.clean.md
