slug,name,family,maturity,capability_tier,local_smoke_status,best_interface,entrypoint,handoff,requires_availability_smoke,real_run_required,next_action
chimerax,ChimeraX,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
clustal_omega,Clustal Omega,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
colabfold,ColabFold,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
conda,Conda,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
cutadapt,cutadapt,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
cwl,CWL,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
dada2,DADA2,microbiome_metagenomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,dada2,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
deeptools,deepTools,epigenomics_peak_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,deeptools,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
deepvariant,DeepVariant,variant_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
deseq2,DESeq2,differential_expression,L0/L1 scaffold,source_packet_scaffold,executed,r_package,DESeq2,Anchor,True,True,"Create a real run record from inspected files, then convert it into an OCEAN software source packet."
dia_nn,DIA-NN,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
diablo,DIABLO,multi_omics_integration,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,mixomics,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
docker,Docker,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
edger,edgeR,differential_expression,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,edgeR,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
eggnog_mapper,eggNOG-mapper,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
fastp,fastp,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
fastqc,FastQC,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
fasttree,FastTree,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
featurecounts,featureCounts,rna_seq_quantification,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
fimo,FIMO,epigenomics_peak_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
flye,Flye,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
fragpipe,FragPipe,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
freebayes,FreeBayes,variant_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
galaxy,Galaxy,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
gatk,GATK,variant_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
giotto,Giotto,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,giotto,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
hh_suite,HH-suite,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
hisat2,HISAT2,spliced_rna_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
hmmer,HMMER,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
homer,HOMER,epigenomics_peak_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
htslib,HTSlib,alignment_file_operations,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
humann,HUMAnN,microbiome_metagenomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
interproscan,InterProScan,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
iq_tree,IQ-TREE,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
itk_snap,ITK-SNAP,imaging_signal_ml,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
kallisto,kallisto,rna_seq_quantification,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
kraken2,Kraken2,microbiome_metagenomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
last,LAST,sequence_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
limma_voom,limma-voom,differential_expression,L0/L1 scaffold,source_packet_scaffold,executed,r_package,limma,Anchor,True,True,"Create a real run record from inspected files, then convert it into an OCEAN software source packet."
macs2,MACS2,epigenomics_peak_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
macs3,MACS3,epigenomics_peak_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
mafft,MAFFT,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
maxquant,MaxQuant,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
megahit,MEGAHIT,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
meme,MEME,epigenomics_peak_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
metaphlan,MetaPhlAn,microbiome_metagenomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
minimap2,minimap2,sequence_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
mixomics,mixOmics,multi_omics_integration,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,mixOmics,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
modeller,MODELLER,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
mofa,MOFA,multi_omics_integration,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,mofapy2,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
mofaplus,MOFA+,multi_omics_integration,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,mofapy2,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
monai,MONAI,imaging_signal_ml,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,monai,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
ms_dial,MS-DIAL,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
multiqc,MultiQC,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
muscle,MUSCLE,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
mutect2,Mutect2,variant_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
mzmine,MZmine,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
nextflow,Nextflow,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
nf_core,nf-core,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
nnu_net,nnU-Net,imaging_signal_ml,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
orthofinder,OrthoFinder,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
picard,Picard,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
prokka,Prokka,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
pymol,PyMOL,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
qiime2,QIIME2,microbiome_metagenomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
qualimap,Qualimap,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
quast,QUAST,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
raven,Raven,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
raxml,RAxML,phylogenetics_comparative_genomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
rosettafold,RoseTTAFold,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
rsem,RSEM,rna_seq_quantification,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
salmon,Salmon,rna_seq_quantification,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
samtools,SAMtools,alignment_file_operations,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
scanpy,Scanpy,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,scanpy,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
scvi,scVI,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,scvi,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
seurat,Seurat,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,Seurat,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
simpleitk,SimpleITK,imaging_signal_ml,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,SimpleITK,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
singularity_apptainer,Singularity-Apptainer,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
skyline,Skyline,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
sleuth,sleuth,differential_expression,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,sleuth,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
snakemake,Snakemake,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
space_ranger,Space Ranger,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
spades,SPAdes,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
squidpy,Squidpy,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,squidpy,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
star,STAR,spliced_rna_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
starsolo,STARsolo,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
stereoscope,Stereoscope,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,stereoscope,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
stlearn,stLearn,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,stlearn,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
strelka2,Strelka2,variant_calling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
stringtie,StringTie,rna_seq_quantification,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
tangram,Tangram,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,tangram,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
three_d_slicer,3D Slicer,imaging_signal_ml,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
torchio,TorchIO,imaging_signal_ml,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,torchio,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
trim_galore,Trim Galore,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
trimmomatic,Trimmomatic,qc_preprocessing,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
wdl_cromwell,WDL-Cromwell,workflow_reproducibility,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
wgcna,WGCNA,multi_omics_integration,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,WGCNA,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
xcms,XCMS,proteomics_metabolomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,xcms,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
