slug,name,family,stage,score,interface_layer,local_smoke_status,best_interface,smoke_command,handoff
bracken,Bracken,microbiome_metagenomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bracken --version,Anchor
dada2,DADA2,microbiome_metagenomics,stage_1_plan_ready_environment_missing,8,r_bioconductor_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('dada2')))""",Anchor
humann,HUMAnN,microbiome_metagenomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,humann --version,Anchor
kraken2,Kraken2,microbiome_metagenomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,kraken2 --version,Anchor
metaphlan,MetaPhlAn,microbiome_metagenomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,metaphlan --version,Anchor
qiime2,QIIME2,microbiome_metagenomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,qiime --version,Anchor
diablo,DIABLO,multi_omics_integration,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import mixomics; print(getattr(mixomics, '__version__', 'version_not_exposed'))""",Anchor
mixomics,mixOmics,multi_omics_integration,stage_1_plan_ready_environment_missing,8,r_bioconductor_or_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('mixOmics')))""",Anchor
mofa,MOFA,multi_omics_integration,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import mofapy2; print(getattr(mofapy2, '__version__', 'version_not_exposed'))""",Anchor
mofaplus,MOFA+,multi_omics_integration,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import mofapy2; print(getattr(mofapy2, '__version__', 'version_not_exposed'))""",Anchor
wgcna,WGCNA,multi_omics_integration,stage_1_plan_ready_environment_missing,8,r_bioconductor_or_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('WGCNA')))""",Anchor
clustal_omega,Clustal Omega,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,clustalo --version,Anchor
fasttree,FastTree,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,FastTree --version,Anchor
iq_tree,IQ-TREE,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,iqtree2 --version,Anchor
mafft,MAFFT,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,mafft --version,Anchor
muscle,MUSCLE,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,muscle --version,Anchor
orthofinder,OrthoFinder,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,orthofinder --version,Anchor
raxml,RAxML,phylogenetics_comparative_genomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,raxmlHPC --version,Anchor
dia_nn,DIA-NN,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,diann --version,Anchor
fragpipe,FragPipe,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,fragpipe --help,Anchor
maxquant,MaxQuant,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,MaxQuantCmd --version,Anchor
ms_dial,MS-DIAL,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,MSDIAL --version,Anchor
mzmine,MZmine,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,mzmine --help,Anchor
skyline,Skyline,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,SkylineCmd --version,Anchor
xcms,XCMS,proteomics_metabolomics,stage_1_plan_ready_environment_missing,8,r_bioconductor_or_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('xcms')))""",Anchor
cutadapt,cutadapt,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,cutadapt --version,Anchor
fastp,fastp,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,fastp --version,Anchor
fastqc,FastQC,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,fastqc --version,Anchor
multiqc,MultiQC,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,multiqc --version,Anchor
picard,Picard,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,picard --help,Anchor
qualimap,Qualimap,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,qualimap --version,Anchor
trim_galore,Trim Galore,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,trim_galore --version,Anchor
trimmomatic,Trimmomatic,qc_preprocessing,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,trimmomatic --help,Anchor
featurecounts,featureCounts,rna_seq_quantification,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,featureCounts --version,Anchor
kallisto,kallisto,rna_seq_quantification,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,kallisto --version,Anchor
rsem,RSEM,rna_seq_quantification,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,rsem-calculate-expression --version,Anchor
salmon,Salmon,rna_seq_quantification,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,salmon --version,Anchor
stringtie,StringTie,rna_seq_quantification,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,stringtie --version,Anchor
blast,BLAST,sequence_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,blastp -version,Anchor
bowtie2,Bowtie2,sequence_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bowtie2 --version,Anchor
bwa,BWA,sequence_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bwa --version,Anchor
last,LAST,sequence_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,lastal --version,Anchor
minimap2,minimap2,sequence_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,minimap2 --version,Anchor
alevin_fry,Alevin-fry,single_cell_analysis,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,alevin-fry --version,Anchor
azimuth,Azimuth,single_cell_analysis,stage_1_plan_ready_environment_missing,8,r_bioconductor_or_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('Azimuth')))""",Anchor
cell_ranger,Cell Ranger,single_cell_analysis,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,cellranger --version,Anchor
celltypist,CellTypist,single_cell_analysis,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import celltypist; print(getattr(celltypist, '__version__', 'version_not_exposed'))""",Anchor
scanpy,Scanpy,single_cell_analysis,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import scanpy; print(getattr(scanpy, '__version__', 'version_not_exposed'))""",Anchor
scvi,scVI,single_cell_analysis,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import scvi; print(getattr(scvi, '__version__', 'version_not_exposed'))""",Anchor
seurat,Seurat,single_cell_analysis,stage_1_plan_ready_environment_missing,8,r_bioconductor_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('Seurat')))""",Anchor
starsolo,STARsolo,single_cell_analysis,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,STAR --version,Anchor
cell2location,cell2location,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import cell2location; print(getattr(cell2location, '__version__', 'version_not_exposed'))""",Anchor
giotto,Giotto,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import giotto; print(getattr(giotto, '__version__', 'version_not_exposed'))""",Anchor
space_ranger,Space Ranger,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,spaceranger --version,Anchor
squidpy,Squidpy,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import squidpy; print(getattr(squidpy, '__version__', 'version_not_exposed'))""",Anchor
stereoscope,Stereoscope,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import stereoscope; print(getattr(stereoscope, '__version__', 'version_not_exposed'))""",Anchor
stlearn,stLearn,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import stlearn; print(getattr(stlearn, '__version__', 'version_not_exposed'))""",Anchor
tangram,Tangram,spatial_transcriptomics,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import tangram; print(getattr(tangram, '__version__', 'version_not_exposed'))""",Anchor
hisat2,HISAT2,spliced_rna_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,hisat2 --version,Anchor
star,STAR,spliced_rna_alignment,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,STAR --version,Anchor
alphafold,AlphaFold,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,run_alphafold.py --version,Anchor
alphafold_db,AlphaFold DB,structure_modeling,stage_2_local_smoke_executed,10,heavy_cli_api_or_container_launcher,executed,ocean_local_adapter,"""alphafold db"" --version",Anchor
chimerax,ChimeraX,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,ChimeraX --version,Anchor
colabfold,ColabFold,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,colabfold_batch --version,Anchor
hh_suite,HH-suite,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,hhsearch -h,Anchor
hmmer,HMMER,structure_modeling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,hmmsearch -h,Anchor
modeller,MODELLER,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,mod9.25 --version,Anchor
pymol,PyMOL,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,pymol --version,Anchor
rosettafold,RoseTTAFold,structure_modeling,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,rosettafold --version,Anchor
deepvariant,DeepVariant,variant_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,run_deepvariant --version,Anchor
freebayes,FreeBayes,variant_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,freebayes --version,Anchor
gatk,GATK,variant_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,gatk --help,Anchor
mutect2,Mutect2,variant_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,gatk --help,Anchor
strelka2,Strelka2,variant_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,configureStrelkaGermlineWorkflow.py --version,Anchor
conda,Conda,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_or_runtime_subprocess,not_available_current_environment,none_found,conda --version,Harbor
cwl,CWL,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_or_runtime_subprocess,not_available_current_environment,none_found,cwltool --version,Harbor
docker,Docker,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_reproducibility,not_available_current_environment,none_found,docker --version,Harbor
galaxy,Galaxy,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_or_runtime_subprocess,not_available_current_environment,none_found,galaxy --help,Harbor
nextflow,Nextflow,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_reproducibility,not_available_current_environment,none_found,nextflow -version,Harbor
nf_core,nf-core,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_or_runtime_subprocess,not_available_current_environment,none_found,nf-core --version,Harbor
singularity_apptainer,Singularity-Apptainer,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_reproducibility,not_available_current_environment,none_found,apptainer --version,Harbor
snakemake,Snakemake,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_reproducibility,not_available_current_environment,none_found,snakemake --version,Harbor
wdl_cromwell,WDL-Cromwell,workflow_reproducibility,stage_1_plan_ready_environment_missing,8,workflow_or_runtime_subprocess,not_available_current_environment,none_found,cromwell --version,Harbor
